Sr No,Title,Content,Published_Date,Website,Source_URL,Category,Bias
28,Title: Rugby World Cup: Wales fans treat Nice to hymn in flash mob,"Wales fans following the team at the Rugby World Cup treated Nice to a rendition of the hymn Calon Lan ahead of the match against Portugal.

The singers performed for a crowd of onlookers in cafes and pubs near the Stade de Nice.

Calon Lan, which was written in the 1890s by Daniel James, means ""pure heart"" in Welsh.

Wales made it two wins from two, although faced spirited opposition from Portugal, who were making their first World Cup appearance since 2007.",2023-09-19,ESPN,https://www.bbc.com/sport/cricket,Cricket,No
29,Title: Libya flood: 'There's a smell of decay and death in the air',"Rescuers in Libya's Derna have told the BBC that bodies are continuing to wash up in the sea, a week on from the devastating floods which swept through the eastern city.

A Turkish team said they removed three bodies from the water just on Saturday morning.

There are fears for survivors in the city, with not enough medicine and clean water for those who have been made homeless.

A spokesperson for one aid organisation said trying to coordinate operations there was a ""nightmare"", with difficulty getting aid and rescue teams into the area.

Thousands of people were killed when two dams burst in the wake of Storm Daniel, washing away whole neighbourhoods in the city.

One official has denied allegations that many of those killed were told to stay at home - asserting that soldiers told people to flee.

Figures for the number of people who have been killed vary between 6,000 to 11,000. With thousands still missing, the city's mayor says the total could reach 20,000.

BBC correspondent Anna Foster reports from the shoreline of the city.",2023-09-18,ESPN,https://www.bbc.com/sport/cricket,Cricket,No
30,Title: Sunak briefs cabinet over changes to green targets,"To map out the UK’s path to net zero, the government’s independent advisers, the Climate Change Committee (CCC), set “carbon budgets”.

These are caps on the amount of greenhouse gases that can be emitted over five year periods for the UK to meet its international commitments.

The UK has met its three previous carbon budget targets, using provisional data for the third .

In June, before these recent rumoured changes, the CCC said it was more confident than a year ago that the UK would meet its fourth budget – which runs between 2023 and 2027.

However, it also warned that it was now “markedly less confident” than a year ago that the government would meet its fifth and sixth budgets up to 2037 – highlighting a lack of urgency to deliver on its ambitious commitments in the medium-term.

It’s difficult to quantify the exact carbon costs of the rumoured shifts in policy, because it relies on many assumptions – for example how our consumption patterns may change.

But inevitably, it would make the current targets harder to achieve – as any extra carbon costs would have to be balanced by extra savings in other areas.

The chief executive of the CCC, Chris Stark, has just said that any change to the proposed trajectory of UK emissions would be a “genuine surprise” because the “legal carbon budgets determine that path”.",2023-09-12,ESPN,https://www.bbc.com/sport/football,Cricket,No
31,Title: BBC News,"These inflation numbers are better than feared.

The chancellor had expressed concerns of a “blip” or a rise, but the main rate of inflation fell a touch.

While at 6.7% inflation remains high and well above target, it has now fallen for three months on the trot.

Other measures of inflation that give a sense of how long the price shock will last, are also again falling.

All in all, this will give some support to those at the Bank of England who want to limit further interest rate rises.

Another rise tomorrow to 5.5% is still likely - but that could be the last one.",2023-09-04,ESPN,https://www.bbc.com/sport/football,Cricket,No
32,Title: Inflation: Surprise fall in UK inflation to 6.7%,"Getty Images Copyright: Getty Images

In January, Prime Minister Rishi Sunak set out his five priorities for 2023.

His top goal is to halve inflation - the increase in prices over time - by the end of 2023.

Inflation was at 10.7% in the three-month period between October and December 2022, which means the government aims to reduce inflation to 5.3%.

It uses a measure called the Consumer Prices Index, which tracks the price of a typical basket of goods.

At the time the prime minister made the pledge, many experts expected inflation in the UK to drop sharply - but it did not fall as quickly as expected in the first half of 2023.

As we've been reporting, in August, CPI fell slightly to 6.7% from July's figure of 6.8%.

Despite the recent falls, analysts remain divided about whether the PM's goal will be achieved .

However, the Bank of England said in August that it expected inflation to be about 5% by the end of the year, which would meet the target.

Read more about how Rishi Sunak is faring on his other pledges here.",2023-09-04,ESPN,https://www.bbc.com/sport/football,Cricket,No
33,Title: New line-up of Louis Theroux interviews announced,"BBC Factual announces six names that meet multi award-winning journalist and broadcaster Louis Theroux for the second series of Louis Theroux Interviews, including cultural icons and industry trailblazers from across the worlds of sport, entertainment and global affairs.

Filmed across a number of locations, from New York City to Normandy, Glastonbury to the French Riviera, the upcoming series will bring viewers closer than ever to some of the world’s most well-known personalities and Louis’s most diverse range of guests yet:

Two-time world heavyweight champion, Anthony Joshua

Actor and producer, Ashley Walters

Whistleblower and activist, Chelsea Manning

Hollywood icon, Dame Joan Collins

Artist and musician, Pete Doherty

Singer-songwriter, Raye

Combining one-on-one conversations with Louis’ signature immersive filming style, each of the six documentaries explore their subject’s lives and careers up to today, including those at pivotal moments in their careers. From Mindhouse productions, co-founded by Theroux, the second series is expected to air on BBC Two and BBC iPlayer later this year.

Anthony Joshua

Louis comes face to face with two-time world heavyweight champion, Anthony Joshua, at his local boxing gym in North London. Against the backdrop of AJ’s fight with American boxer Jermaine Franklin, Louis explores his success, set-backs and his sporting motivations, as well as spending time together in the Watford estate in which AJ was raised.

Ashley Walters

In the Kent seaside town of Herne Bay, Louis meets Top Boy actor and ex-So Solid Crew rapper Ashley Walters. Ashley tells Louis about growing up in Peckham, including run-ins with the police, his transition from music to acting, and life by the sea with his partner and children.

Chelsea Manning

Louis travels to New York City to delve into the mind of one of America's most polarizing figures, famous whistleblower and activist Chelsea Manning. In 2010, Manning, a U.S. Army intelligence analyst, released the largest set of classified documents in U.S. history and was sentenced to 35 years in a military prison for her actions. Branded a traitor by some and a hero by others, Chelsea reveals what drove her to risk everything by making the documents public, whilst sharing details of her life now as a DJ and public speaker.

Joan Collins

Louis heads to the French Riviera to meet one of the icons of Hollywood’s Golden age, Dame Joan Collins. Welcomed into her holiday home near St Tropez, Louis and Dame Joan discuss the highs and lows of her multi-decade career, including her star turns in The Stud and as Alexis in Dynasty. Louis also hits the town with Dame Joan and her husband of over 20 years, Percy Gibson.

Pete Doherty

Louis meets notorious Libertines and Babyshambles frontman Pete Doherty in Normandy, where he now lives with his wife and their baby daughter. Discussing music, drugs and his hopes for a bright future after a turbulent career, Louis also joins Pete on tour with the rest of the Libertines, and hangs out backstage at Secret Garden Party in Cambridgeshire.

Raye

In South London Louis meets the newly independent singer and songwriter, Raye. In a pivotal year that has seen her winning an Ivor Novello and nominated for a Mercury Music Prize, Louis and Raye unpack her journey from her record label split, to her number one single ‘Escapism’, and a new artistic freedom. Louis also takes to the Pyramid Stage at Glastonbury to watch the 25-year-old musician as she marks this new chapter with one of her biggest performances yet.

Louis Theroux says: ""Working with the team on these six new programmes has been an enormous pleasure. The six guests are all distinctive and brilliant in different ways, all of them people who have endured setbacks and huge successes, and who have something to share with the world based on their journeys through life. We have tried to build on the success of the first six Louis Theroux Interviews, while pushing further this time into terrain that is gritty and difficult, exploring subjects like mental health, brushes with the law, and political controversy.

""Like the first six Louis Theroux Interviews, each show mixes stylish master interviews with behind-the-scenes moments and actuality shot on location, so viewers have the double pleasure of a thoughtful in-depth conversation alongside a revealing look into the lives of the contributors: in the locker room post-fight with Anthony Joshua, Raye's dressing room before her Glastonbury set, Joan Collins' house in the south of France. The tone of the shows is always open-minded and generous-hearted, while hopefully being funny, and always mindful of the need to keep viewers interested. I like them, and I'm notoriously hard to please.""

Clare Sillery, BBC Head of Commissioning, Documentaries, says: ""I am delighted that Louis is back with such an exciting and eclectic mix of new interviewees. Louis’s genuine curiosity and warmth mean that each of these meetings will bring us something very new and different and I can’t wait to see him take us deeper into the worlds of these hugely engaging cultural figures.""

The first series saw Louis up close and personal with some of the UK’s biggest stars: Stormzy; Dame Judi Dench; Yungblud; Bear Grylls; Katherine Ryan; and Rita Ora, with an average audience of more than 2.1m tuning in* (*Consolidated viewing figures for the first four episodes) in the first 7 days.

Louis Theroux Interviews, a 6x45’ series from Mindhouse Productions for BBC Two and iPlayer, was commissioned by Clare Sillery, Head of Commissioning, Documentaries. The Executive Producers are Arron Fellows and Emma Whitehead. The Series Producer is Alex Kohler and the Production Executive is Suzy Burnet. The Commissioning Editors are Max Gogarty and Fran Baker. Global sales will be handled by BBC Studios Distribution.

CH",2023-09-18,ESPN,https://www.bbc.com/sport/football,Cricket,No
34,"Title: Strictly Come Dancing 2023 Judges celebrate series 21 and explain why ""sending somebody home is never easy""","L-R: Craig Revel Horwood, Shirley Ballas, Motsi Mabuse and Anton du Beke (Image: BBC/Ray Burmiston)

Saturday nights are even more fab-u-lous thanks to the 21st series of the multi-award-winning Strictly Come Dancing on BBC One and BBC iPlayer, once again bringing plenty of glitz and glamour to homes across the nation. As the Judges return to put our celebrity contestants to the test, we caught up with Shirley Ballas, Anton Du Beke, Motsi Mabuse and Craig Revel Horwood to find out about what they were up to in their 21st year, their go-to dance songs at parties and weddings, and what they're most looking forward to from Strictly 2023. Strictly Come Dancing goes live from Saturday 23 September at 6.15pm on BBC One and BBC iPlayer SH3 Shirley Ballas

Strictly is back for its 21st series! How does it feel to return to the judging panel for such a monumental series? I’m super excited to return to the panel, it’s going to be one superb series. I feel so lucky to get a front row seat in the ballroom, it is a real privilege. I cannot wait to nurture and guide our new celebrities to help them become the best dancers they can be. We've asked all the Pro’s what they were doing when they were 21, what were you doing when you were 21? And what was life like for you? When I was 21 I was married to my dance partner. We were aiming to be world champions and we were dancing professionally and lecturing all over the world. Every year there is so much excitement when Strictly comes back on our screens, what keeps audiences coming back for more? I think the injection of glitz and glamour lightens up audiences' living rooms. I think viewers love to follow the journey of our celebrities throughout their time on the show and they enjoy having their own opinions and thoughts on the dances. What is the biggest joy from your job as a Strictly judge, and the biggest challenge? The biggest joy is being a small part in the nations favourite show and sharing my knowledge and passion for dance. The biggest challenge is when I hear Anton vote differently to Craig and Motsi in the dance off and then the final say is down to me. It’s so heartbreaking having to send anyone home. If you could only dance one kind of dance style for the rest of your life what would it be and why? I think it has to be the Rumba, as it’s the dance of love. It's fast, slow, sharp and soft – it’s got everything in there and it’s such a passionate dance. Do you have one stand-out dance and/or celebrity dancer from last year’s Strictly Come Dancing? It has got to be Hamza’s Salsa, what a surprise! The way he was flipping and throwing Jowita around like there’s no tomorrow, it was so impressive. I think that moment will go down in Strictly history. If you could only pick one favourite performance from all your series so far, what would it be, and why? I think it would have to be Kelvin Fletcher’s Samba with Oti in Week One in 2019. I really don’t know how it could be topped! He has this big smile on his face and his bright blue shirt. It was absolutely outstanding and also technically astonishing – definitely one to remember. Strictly returned to Blackpool last year, after some time away, how was that, and does it make you excited to return this year? It was amazing to return to Blackpool, the ballroom there is an iconic venue that holds a very special place in my heart. Being in Blackpool takes everything to a whole new level, it’s the home of ballroom dancing and the walls are steeped in history. We have 19 brilliant Pro’s for this series, how would you sum up their contribution towards the show making it what it is? It’s really simple, we wouldn’t have a show without the marvellous professional dancers. They put their all into it and work so hard to bring out the best in their celebrity partners. They dedicate so much of their craft to the show and it pays off each and every series when we see the level of dancing improve. They are such a joy to watch. Is there a song that will never fail to get you on the dancefloor at parties or weddings? It has to be I'm Still Standing by Elton John. I just can’t resist a Jive when I hear that song! Finally is there anything you are particularly excited for this series? To be back with my beautiful Judges and for all the laughs and smiles. I’m also really looking forward to fangirling over Angela Rippon! She announced me during the UK championships many times during my competitive career so her voice brings back so many fond memories. Anton Du Beke

Strictly is back for its 21st series! How does it feel to return to the judging panel for such a monumental series? I tell you what, I am naturally, brilliantly excited about the whole thing, I can't wait. For me it's just a magical time of year when Strictly returns to our screens. It always starts in the summer and goes into the autumn and winter. It's just brilliant. The excitement about Strictly Come Dancing coming back with all the celebrities and just being in the building with everybody milling around, delighted and happy and joyous and all the brilliant teams back together. It's so wonderfully exciting. We’ve asked all the Pro’s what they were doing when they were 21 What were you doing when you were 21? I would have been dancing, competing, practising and flying about trying to get better, that was my life really. I have literally been dancing every day of my life and also at 21, I think I was working in a bakery. I would have started work at the bakery at three o'clock in the morning, and then dancing at night and competing at weekends. Baker by day, dancer by night! There's so much excitement when Strictly comes back. What do you think keeps audiences coming back from? It's so multi layered and, I don't want to repeat myself too much, but it is just brilliant because there's so much about it you can love. Firstly, it's the best of the best, there is so much on the show you can enjoy. Obviously you will want to know who the celebrities are, some you'll know and some you won't know as well, and audiences will get a favourite immediately so that's always exciting in the first show. The music's amazing, the Judges are brilliant, Tess and Claudia are incredible, the frocks are fantastic, then you have all of sets and the lighting! The show is so multi-generational as well. What is the biggest joy from your job as a Strictly Judging and what's the biggest challenge? The biggest joy is being part of it and turning up every week. It's a real surprise and a fortune that I've been a part of the show since the beginning, and there’s only Craig, Tess and I left from the very first series and to have been part of a show that is part of the fabric of British consciousness – and the world’s, it’s such a global show - is sort of overwhelming, if I think about it too deeply it blows my mind. To be a part of that since the beginning, I feel massive pride. I love it now as much as I did then and I'm delighted about that as well. What is the biggest joy from your job as a Strictly judge, and the biggest challenge? The biggest challenge is eliminating somebody and sometimes it’s tighter than you'd want it to be, but that's the job and that's what I’m there for, so that is the most challenging part. Trying to be encouraging, trying to help people - that's the fun part. If you could only dance one kind of dance style for the rest of your life, what would it be and why? Probably a ballroom dance of some sort I’d imagine, taking a lady into my arms and dancing together. However, if I could do one thing more now, I’d like to become a better tap dancer because I don’t tap as well as I’d like, and I’d like that skill. Do you have one standout dance or celebrity dancer from last year’s Strictly? Helen and Gorka’s couples choice dance to Mein Herr and Hamza did some numbers that were staggering, but for pure dancing and precision Helen’s was the standout moment from last year for me. Strictly returned to Blackpool last year after some time away, how was it, and does it make you excited to return this year? Oh wasn't it brilliant?! It's such a massive production and we all go up to Blackpool and then rig it all up and it takes ten days, I mean it’s a huge thing, but it's so worth it! It's a wonderful moment in the series as well, but it means so much more than just going to Blackpool, we're going for the tower ballroom which is such an iconic venue. We’ve got 19 brilliant Pro’s this series, how would you sum up their contribution in making the show what it is? Oh epic, the Pro’s make it what it is, I've always felt this really. They're the ones to put the content for the show on the floor, they perform the group dances, they choreograph their celebrity routines, and they work with the celebrities to get the best out of them. The Pro’s are extraordinary talents and remarkable performers. Is there a song that will never fail to get you on the dance floor at weddings and parties? Dancing Queen by ABBA. Finally, is there anything you're particularly excited about for this series of Strictly Come Dancing? Just all of the above, although I am really excited about the Judges number at the beginning. What I would love to do one year, is to do a dance with one of the professionals for one of the artist numbers like I used to. There’s nothing quite like performing, it’s magical, the thing about dancing with a celebrity is you get voted off, and that’s the bit I hated! Motsi Mabuse

Strictly is back for its 21st series! How does it feel to return to the judging panel for such a monumental series? It feels amazing, and I'm super excited to meet everyone and to see how this season will develop. We've asked all the Pro’s what they were doing when they were 21, what were you doing when you were 21? And what was life like for you? I had been in Europe for three years and was dancing, minding my own business. Just dancing, my life was dancing. I was dancing in Germany and preparing for a championship. Nothing else, eat, dance and sleep, that’s it. Every year there's so much excitement when Strictly comes back on our screens. What keeps audiences coming back for more? The audiences love the dances and they love the show, it's a beautiful, emotional show, full of glitz and glamour and we all get to share it together. It's just such a special time of the year when Strictly starts. What's the biggest joy from your job as a Strictly Judge and what's the biggest challenge? The biggest joy is being part of such a professional and wonderful team that is huge and everybody's giving 110% and that that to me is quite inspiring. I think the biggest challenge for me is always the dance off because I bond with all the contestants and sending somebody home is never easy. If you could only dance one kind of dance style for the rest of your life, what would it be and why? Probably the Rumba because that means I get to dance with my husband all my life. Do you have one standout dance and or celebrity dancer from last years’ Strictly? I think the Salsa from Hamza and Jowita will remain unforgettable. If you could only pick one favourite performance from all your series so far, what would it be? It would be the week one Samba from Kelvin and Oti because he wasn't meant to be on the show. Jamie Laing had broken his leg and then Oti got Kelvin and no one could have planned anything like that, and he comes on the floor and they just burned the floor. It was absolutely amazing! Strictly returned to Blackpool last year after some time away, how was that and does it make you excited to return this year? It was fantastic being back in Blackpool because I also felt like everybody had their game on and I just can't wait to be back in in the tower ballroom for this new series. We have 19 brilliant Pro’s for this series, how would you sum up their contribution towards making the show what it is? Well, the show wouldn't be what it is without the Pro dancers, it's quite simple. It wouldn't be what it is without the dancers. They're such a big part of the show, they are the other half of a couple, so they are very, very important. Is there a song that will never fail to get you on the dance floor at parties or weddings? You Are The First, The Last, My Everything by Barry White And finally, is there anything you're particularly excited about for this series? I'm particularly excited about all the stories we're going to hear, I believe in the power of personality, there are brand new celebrities so I just want to see their personalities on the floor. Craig Revel Horwood

Strictly is back for its 21st series! How does it feel to return to the judging panel for such a monumental series? It’s like coming home for me. Every year, for the last 20 years, I have been coming home to Strictly and this is no different. I think even better because the line-up for this series is absolutely phenomenal. We have asked all the pros what they were doing when they were 21. What were you doing when you were 21? I had my 21st birthday in my hometown of Ballarat, Australia as I hired a bus to take the cast of Me and My Girl, a show I was in at the time there, and had a fantastic time. I remember my 21st so well, because it was just incredible set in a haystack and very Australian and very non-theatrical even though it was full of lots of theatre people. It was a blazing hot day as well and everyone got burned, 21 was a great year for me in the theatre. Every year, there's so much excitement when strictly comes back. What keeps audiences coming back for more? I think it's a programme that they can rely on. They know it's the lead up to Christmas and it's something they know, something they love and it's something they feel a part of. I think it embraces everybody and it has won the hearts and minds of not only this nation but so many. So there's something going right with it. I think it makes you feel like a part of the community which I think is great. What is the biggest joy you take from your job and what's the biggest challenge? The biggest joy I take from my job is getting front row seats to the best dance show in the world and the biggest challenge I think for me is making the right decisions when we're letting someone go. I think that's the hardest thing for me in the job. If you could only dance one kind of dance style the rest of your life, what would it be and why? A Charleston because that's my speciality, and it's completely different. It's such hard work and will keep me thin for the rest of my life. Anyone can do it and it doesn't matter how old you are, you can still get a bit of swivel in there! Do you have one standout dance or celebrity dancer from last year Strictly? I loved Fleur in Blackpool, she was amazing, this is when Fleur came into her own, I just loved it. She was right at home and rocking it and I got out my 10 paddle for the first time, which was great. If you could only pick one favourite performance for all your series what would it be? I think Anton Du Beke dancing with Ann Widdecombe, where he did the aeroplane move I just went ‘I cannot believe this is actually happening in front of my very eyes’ and that will stay with me until my death for all the wrong reasons, but every reason that that tells you what Strictly it's about. I think one of the best dances I've seen was Rose and Giovanni, I thought that was just amazing. Strictly returned to Blackpool last year after some time away, how was that? Does it make you excited to return this year? Yes, I really loved Blackpool! I filmed a couple of programmes up there over the summer and it was absolutely fantastic because I never get to go there in the summer. The audiences are great and the venue is bigger and I think that's exciting. And of course it has that wonderful sprung floor, so it's always great. We have 19 brilliant Pro’s the series, how would you sum up their contribution towards making the show what it is? Well, they really make the show. They are the teachers, they're the nurturers, they're the embracers, they're the ones that pick up the pieces after the Judges have judged them, they have to be all sorts of different things apart from just teachers, and they also have to be there to support, so they work really, really hard. They're the first ones in the last ones out and they're just amazing. Is there one song that will never fail to get you on the dance floor at parties or wedding? I Will Survive by Gloria Gaynor. It's disco, It’s my era darling and love it. Finally, is there anything you're particularly excited about? This series, I'm really looking forward to see all the group numbers because I love those and I never get to see those until the day. Normally, I get to see them rehearse and all of that but that's what I look forward to the most.",2023-09-18,ESPN,https://www.bbc.com/sport/football,Cricket,No
35,Title: How did tea become the nation's favourite drink?,"Tea may have some complicated connotations, but one of its strengths is its association with comfort and support in difficult or traumatic situations.

The taste and smell of tea tell us that we're safe before we're even consciously aware.

Clinical and forensic psychologist Dr Andrea Shortland explains that the 'tea and sympathy' tradition ""automatically cues your brain to think 'I'm okay, I'm safe now.'"" Furthermore, the offer of a cup of tea signifies ""perceived social support"" and the space to ""tell your story"", both factors that might even prevent PTSD further down the line. ""The taste and smell get to our safety centre in our brain and tell us we're safe before we're even consciously aware,"" says Andrea.

Studies even suggest that if someone is drinking a hot drink they are much more likely to rate another person more favourably and even offer to help them in some way. ""The idea of warmth,"" explains Andrea, “actually connects when we're physically warm as well as emotionally warm – they're processed in the same part of the brain.""

The PG Tips ads reinforced tea as part of the British psyche

The wildly successful ad series that used a family of anthropomorphised chimpanzees to sell PG Tips tea ran from 1956 to 2003. A copywriter hired to raise the profile of the brand hit upon the idea after walking through London Zoo and seeing a 'Chimps Tea Party', where the chimpanzees were dressed in human clothes while they played with a tea set.

Within 18 months of the campaign starting, PG Tips had jumped from fourth in the market to brand leader. ""It went on to stay brand leader for the next 40 years,"" says ad consultant and author Paul Feldwick, who worked on the PG Tips account in the 1990s, ""and it still vies for that position today.""

The ad was an example of getting an audience to identify with a brand rather than saying why it was better than its competitors. The public did eventually become uncomfortable with how the chimps were used (coinciding with an increasing difficulty in finding a suitable troupe), but the chimps' antics – such as moving pianos, racing in the Tour de France or echoing stories in the news such as the oil crisis of 1973 and the Channel Tunnel dig in 1992 – were an undeniable hit in the bygone days when mass market advertising worked, and they did their bit to reinforce tea as a staple of our culture.

The world is awash with tea

The tea market is a lot more varied than it was when PG Tips started out. For one thing there is the growth in the herbal tea market, non-caffeinated infusions such as chamomile and peppermint teas. This sector is predicted to sell £345.5 million worth of products in the UK this year.

Meanwhile, tea continues to re-invent itself across the globe. In the US, 85% of all tea consumed is iced tea, and in the Far East there is Bubble Tea from Taiwan (making it big in the UK too) which is sweet milky tea with balls of tapioca in it. Then there's Hong Kong milk tea, which uses super sweet condensed milk. This tea has even lent its name to a virtual pro-democracy movement – the Milk Tea Alliance – across Hong Kong, Taiwan and Thailand. Tea and politics, it seems, is as ingrained as tea and sympathy!

The information contained in this article was correct at the time of broadcast on 20 July, 2023.",2023-09-19,ESPN,https://www.bbc.com/sport/football,Cricket,No
36,Title: BBC News,"James Wakibia/SOPA Images/LightRocket via Getty Images Copyright: James Wakibia/SOPA Images/LightRocket via Getty Images The proposed bill seeks to outlaw gay parades and cross-dressing in public Image caption: The proposed bill seeks to outlaw gay parades and cross-dressing in public

A proposed anti-gay bill in Kenya wants gays and lesbians jailed for 50 years for non-consensual sex.

Dubbed the Family Protection Bill 2023, the draft law sponsored by Homa Bay Town legislator Peter Kaluma, is recommending a ban on homosexuality, same-sex unions and any LGBTQ activities and campaigns.

It also seeks to prohibit gay parades, assemblies and marches on streets, and cross-dressing in public.

“A person who engages in sexual act with a person of the same sex without the consent of the other person shall upon conviction be sentenced to imprisonment for a term of not less than 10 years and not exceeding 50 years,” says the bill.

Owners of premises used for same-sex relations will pay a fine of $14,000 (£11,000) or face a jail term of seven years if the bill goes through.

Last week, clerics and some civil society organisation groups held anti-LGBTQ protests in the coastal city of Mombasa.

This followed a re-enforcement by Kenya’s Supreme Court of a decision in mid-September to allow the registration of LGBTQ non-governmental organisations.

Kenya’s NGO Coordinating Board had declined to register the National Gay and Lesbian Rights Commission, saying it “promotes same-sex behaviour”, dragging the case for a decade.

The Supreme Court early this year deemed the move discriminatory and unconstitutional hence allowing LGBTQ organisations to register in a landmark ruling.",2023-09-19,ESPN,https://www.bbc.com/sport/football,Cricket,No
37,Title: Nine things we learned from Adrian Edmondson's Desert Island Discs,"5. Shakespeare saved him from being kicked out of school

""There wasn't a drama department,” explains Adrian, talking about his boarding school, “but there was a school play and I was in every school play.”

I was going to be expelled but that was when they realised that we were halfway through Hamlet and I was Hamlet

In sixth form he was cast to play Hamlet but in the middle of rehearsals he ran away from school.

“Well, I only ran away because I was going to be expelled for the crime of throwing up in the prefects’ wastepaper bin and the headmaster got me in.”

“I was wearing two pairs of pants as usual for the usual flogging, but he didn't want to flog me this time. He said he was going to suspend me and they were thinking of expelling me.”

“So I did the only sensible thing and ran away. Eventually I ran out of money and gave myself in and I was going to be expelled. But that was when they realised that we were halfway through Hamlet and I was Hamlet.”

“And Hamlet was going to be difficult without Hamlet.”

“So they let me back in on the promise that I joined the army when I left school. I didn’t! That didn’t happen,” laughs Adrian.

6. Samuel Beckett and Brentford Nylons played key roles in his student shows

Adrian met Rik Mayall at Manchester University, and immediately found they shared many common interests: “We both thought Laurel and Hardy were the best of comedy. The other thing we shared was our love of [the Samuel Beckett play] Waiting for Godot. We were the only people who thought it was a funny play.”

Adrian and Rik began performing together, and the university drama department gave them a stage:

“We had the Stephen Joseph Studio, a little German church in the middle of the campus [named after the English stage director who pioneered theatre in the round], and we were allowed to do whatever we liked in it. Every Monday night was studio night and the rest of the department turned up [so] you'd have a guaranteed 100 in the audience and you would do your stuff.”

“I remember we bought a pair of pink duvet covers from Brentford Nylons,” says Adrian of one his and Rik’s productions, “And we were going to string them up from the studio roof and pretend to be God's testicles and talk about the world. Very sort of Waiting for Godot, really.”

7. A cigarette carton played a vital role in his relationship with Jennifer Saunders

Following university Adrian and Rik started appearing at The Comedy Store in London, as part of a growing new comedy scene.

“We were with a group of friends and it all felt very dynamic. You know, Dawn [French] and Jennifer [Saunders] came in, it was Pete [Richardson] and it was Alexei [Sayle]. It was a big family unit,” says Adrian.

The group went on to found their own comedy venue, The Comic Strip, so called because it shared premises with a strip club.

Adrian went on to marry fellow comedian Jennifer Saunders - but it took them a while after they first met to get together.

“Although I think it was love at first sight, we were both in other relationships which failed at different times so there was a kind of overlapping of relationships until we were finally separate people at the same time.”

“Eventually I remember going out to my car and there was a cigarette carton under the windscreen wiper and on it, it said, ‘I love you, love Jennifer’.”

“And that was the first time I knew.”

8. He remembers Rik Mayall with laughter and tears

After years of performing together, Adrian and Rik went their separate ways in 2003 and it wasn’t an easy split: Adrian felt they had done their best work together and, as he puts it: “I thought we'd gone over the top of the mountain. It would become increasingly sadder, and not in a funny way.” But Rik wanted to carry on and continued to put the idea of teaming up again to Adrian, who recalls:

“I hit upon the idea: ‘All right, let's write a couple of episodes of a new series, hand it in, they'll [the TV commissioners] say ‘No’, and then it's not my fault anymore.”

But then the series was commissioned - but they couldn’t complete it. Rik died in 2014 at the age of 56.

“I think of the writing room all the time,” says Adrian when he remembers Rik. “We spent more time in the writing room than anywhere else.”

“And I remember just laughing like drains.”

“His mum... his mum wrote me a lovely letter. I wrote to her after he died and she wrote back, saying all she could remember was us - she could see us out in the garden, a couple of deck chairs just laughing and laughing and laughing - and she could never tell what was quite so funny.”

“It was funny. It was good fun,” says a tearful Adrian of his memories of Rik.

9. His final disc reminds him of family harmony

Adrian selects Wide Open Spaces by The Chicks, formerly the Dixie Chicks, because it takes him back to long car trips with his whole family.

“We spent a lot of our life down in Devon, which is where we call home, and we’ve spent a lot of our lives - because a lot of work is also in London - going up and down the A303 with three kids in the back seat, my lovely daughters.”

“Wide Open Spaces is a fantastic song. It's about kids leaving home, and the three of them would be doing three-part harmonies, belting it out, driving down the A303. It's one of the wonders of my life.”",2023-09-12,ESPN,https://www.bbc.com/sport/football,Cricket,No
38,Title: Five unbelievable ways longevity pioneers are trying to live forever,"1. Stitching old and young mice together

Yes, this one’s as gruesome as it sounds. Scientists Mike and Irina Conboy wanted to understand the role blood plays in how tissues age. So, to see what would happen to an old mouse when it received young blood, they stitched pairs of mice together. Mike explains, “as that tissue heals and blood vessels reform… now you have blood slowly trickling from one animal to the other.”

The results were compelling. The old mice became stronger and mentally sharper, and markers of age were reversed. Although the sample size was small, the Conboys’ findings were notable enough to be published in the peer reviewed journals Science and Nature in 2005, and they’ve influenced the longevity community ever since.

2. Getting injected with young blood plasma

Inspired by the Conboys and the research that followed, tech entrepreneur Bryan Johnson has tried something pretty shocking: being injected with a young person’s blood plasma. To make sure he was getting plasma from a healthy donor, Bryan asked his then 17-year-old son to help him out. He tells Aleks, “I never imagined that my little baby would grow up and I'd be doing this procedure with him.” And it didn’t stop there: Bryan donated plasma to his dad too.",2023-09-15,ESPN,https://www.bbc.com/sport/football,Cricket,No
39,Title: Mexico 'alien bodies': Those viral artefacts get lab tests,"Last week Mexico held its first ever congressional hearing on the subject of UFOs, where UFO enthusiast and journalist Jaime Maussan produced two artefacts he claimed amounted to evidence of ""non-human"" life.

His appearance quickly went viral online, fuelling conspiracy theories and also drawing some ridicule.

Days later, journalists were invited to film tests carried out by Jose de Jesus Zalce Benitez, a forensic doctor with the navy.

Previous claims the pair have made about similar specimen have been dismissed by scientists as the mummified remains of humans.

In response to their appearance at the hearing, Nasa scientist Dr David Spergel, questioned why the pair did not make their data samples public.

US authorities have recently engaged with questions about unexplained sightings and in July the US Congress listened to witness testimony on unexplained phenomena.

A recent report by Nasa into hundreds of UFO sightings concluded that there was no evidence aliens were behind the unexplained phenomena.",2023-09-19,ESPN,https://www.bbc.com/sport/football,Cricket,No
